name	id	sessions_id
stage 1	stage 1	5115, 5044, 5369, 5035, 5048, 6424, 5370, 4946, 5597, 5371, 5037, 5869, 5372, 5046, 6039, 5117, 1152, 1825, 5118, 5051, 5704, 4735, 5705, 5040, 6382, 5049, 1449, 5595, 5929, 5047, 5849, 4380, 5119, 6398, 8363, 6481
stage 3	stage 3	879, 1547, 1538, 5594, 1940, 2304, 4711, 6128, 1577, 1823, 2012, 1759, 1532, 2923, 1981, 184, 6431, 1674, 6171, 183, 1476, 1814, 4176, 1560, 1806, 1318, 1765, 3059, 1986, 1234, 162, 1865
newthinking	newthinking	7131, 7529, 7132, 7133, 7256, 7137, 7138, 7416, 7258, 7134, 7135, 8176, 7139, 7238
stage 4	stage 4	5514, 6019, 1930, 1697, 1206, 1552, 1573, 1916, 1726, 170, 6402, 1959, 1628, 6432, 6428, 1278, 4785, 2732, 1887, 1859, 2282, 5134, 6439, 4945, 1438, 6448, 1749, 2007
stage 5	stage 5	6243, 6242, 1716, 1781, 5946, 1208, 2283, 2546, 4257, 4694, 2442, 1642, 5337, 1626, 1405, 1868, 6169, 1397, 1572, 2045, 188, 1892, 6626, 182, 1348, 1867
workshop D	workshop D	2391, 5578, 5519, 6127, 6210, 6231, 6235, 6239, 5398, 1879, 1404, 6453, 1618, 1764, 1786
stage 6	stage 6	1454, 6423, 4747, 6624, 5316, 5908, 1715, 3110, 5722, 5368, 6433, 6422, 6435, 6436, 1955, 1631, 1374, 1933, 980, 172, 774, 5615, 6527, 5614, 1672, 6240, 1932, 1597
workshop C	workshop C	1812, 6426, 5577, 5576, 5702, 6209, 6230, 6234, 6238, 2870, 1389, 1363, 4058, 4656, 1382, 6452
workshop A	workshop A	1864, 5515, 5520, 5517, 6211, 6205, 6207, 6212, 6232, 6236, 6437, 5669, 1714, 7096, 5166, 2016, 1890, 1767, 2063
stage 2	stage 2	6425, 6146, 1957, 1393, 5866, 4273, 5039, 1810, 6145, 2161, 6427, 5052, 5053, 3983, 2042, 6403, 6059, 6434, 1137, 4780, 6381, 1707, 190, 1446, 5965, 4381
Global Innovation Lounge	Global Innovation Lounge	5970, 5949, 5415, 7257, 6184, 6401, 5668, 5947, 5966, 5189, 6206, 7464, 6183, 6400, 7097, 5968, 5969, 6018, 5706, 7099, 7098, 6124, 5967, 5948, 6200, 7100
workshop B	workshop B	5516, 6126, 5518, 6208, 6214, 6233, 6237, 2010, 841, 4690, 5133, 4779, 1862, 1258, 1535
stage 7	stage 7	1698, 6125, 5307, 5308, 4655, 168, 1984, 6282, 1123, 1805, 6182, 4802, 179, 5617, 6040, 1888, 1969, 1561, 1978
re:publica	re:publica	7964, 7965, 1435, 7966, 8028, 8029